Subcategory     Engagement 2025     CAGR 2025   Engagement 2028   CAGR 2028
100% fruit juice	359.64	109.00%	231.221	9.0%
Aam Panna	106.29	-7.00%	138.3349	76.0%
Alkaline water	98.58	46.00%	89.80011	-11.4%
Aloe vera juice	56.97	-5.00%	134.0088	17.0%
Black tea	51.68	32.00%	110.9197	60.7%
Brewed coffee	84.91	-61.00%	75.72861	9.0%
Buttermilk	105.10	15.34%	55.8505	13.0%
Caffeinated energy drinks	419.10	32.20%	455.5076	36.7%
Chamomile Tea	2.02	43.00%	86.474805	81.0%
Chia drinks	150.07	75.38%	374.37813	126.5%
Chunky drinks (nata de coco)	471.26	232%	66.16547	20.1%
Coffee pods	1.50	-68.00%	156.3408	78.0%
Cold brew coffee	15.53	-37.00%	299.8588	163.0%
Cold coffee (w/ milk)	290.68	39.45%	106.6749	16.0%
Cold-pressed juice	28.59	21.00%	159.7906	96.8%
Decaf coffee	2.09	-9.00%	58.38371	92.2%
Detox fruit juices	505.21	113.00%	132.32268	-15.0%
Diet variants	491.35	320.00%	168.4684	83.2%
Electrolyte energy beverages	181.37	157.00%	363.5	78.8%
Espresso-based drinks	211.23	113.00%	283.498	43.0%
Filter coffee	142.30	56.20%	237.9032	14.5%
Flavored milk	427.10	51.00%	277.6218	-4.0%
Fresh coconut water	172.58	17.00%	348.3445	67.7%
Fruit nectar	2.79	37.00%	1.976899	15.0%
Ginger ale	291.95	437.20%	476.7991	157.0%
Glow Juices (Skin Health focused)	455.45	168.00%	165.77825	-15.3%
Green tea	116.56	34.59%	365.8457	145.1%
Hangover Recovery Drinks	3.20	12.40%	24.53	2.0%
Herbal Iced Tea	1.02	193.00%	27.99877	135.0%
Herbal juice drinks	197.06	79.00%	106.4973	24.0%
Herbal Kadha	39.09	124.00%	270.1272	96.2%
Herbal tea	83.80	75.00%	92.93168	11.4%
Hot chocolate (milk)	58.19	104.30%	454.6354	74.3%
Iced tea	5.93	94.30%	247.3262	166.0%
Infused water	344.95	188.00%	40.09295	26.1%
Instant coffee	93.62	28.00%	460.2266	43.4%
Jaljeera	18.10	32.32%	91.53	72.4%
Juice concentrates	29.15	293.00%	34.58148	89.2%
Juice shots	181.01	183.00%	322.7127	14.0%
Kanji	169.41	122.00%	114.2	41.8%
Kashmiri Kahwa	11.19	26.00%	59.9212	30.4%
Lavender Tea	0.19	12.00%	128.3391	106.0%
Lemon/lime soda	849.20	165.00%	232.49	27.4%
Loose leaf tea	5.50	123.20%	128.8789	161.2%
Malted milk drinks	35.46	9.00%	105.4049	65.7%
Milk tea	310.59	81.00%	173.4454	-3.4%
Milk-based probiotic drinks	45.10	26.00%	23.50825	10.0%
Milkshake	975.24	17.00%	488.394	-12.0%
Mixed vegetable blends	182.04	277.94%	250.3434	-20.0%
Natural energy drinks	173.75	118.00%	59.63316	76.0%
Nimbu Paani	209.45	65.30%	424.567	32.5%
Non-Diet Colas	413.38	-9.00%	209.7259	-4.0%
Nootropic coffee	1.34	242.91%	136.28991	86.0%
Oat milk coffee	3.28	59.00%	1.9501727	13.0%
Orange soda	278.53	15.00%	132.984938	-24.0%
ORS drinks	90.24	62.00%	306.61273	58.2%
Packaged coconut water	56.30	177.20%	415.2883	145.0%
Panakam	97.18	170.00%	130.4979	11.4%
Plant protein drinks	2.09	-50.00%	0.5334716	-17.0%
Pre-workout RTD drinks	25.47	162.20%	343.0587	182.3%
Preworkout Energy shot	11.34	372.20%	26.28893	173.3%
Protein milkshake	444.19	347.50%	250.0994	-20.0%
Protein Water RTD	25.20	49.80%	78.358588	121.0%
Ragi malt drink	68.05	27.00%	116.7647	-20.0%
Ready-to-drink coffee	21.82	33.30%	60.0872	67.0%
Salted lassi	17.92	50.00%	98.2	113.0%
Sattu drink	119.56	-27.00%	82.77	23.0%
Sherbets	305.71	45.00%	120.7933	13.7%
Smoothie-style fruit juices	458.33	121.00%	37.75848	-2.0%
Soy milk beverages	2.53	45.00%	76.73489	93.0%
Sparkling flavored water	432.99	482.00%	112.40208	49.6%
Sports hydration drinks	150.70	40.00%	327.4513	82.0%
Sugar-free energy drinks	73.20	124.00%	421.2951	156.0%
Sugarcane juice	626.70	33.00%	111.8726	13.0%
Sweet lassi	105.27	25.00%	141.1859	39.0%
Thandai	206.64	154.00%	219.3	21.2%
Thickshake	43.43	31.00%	70.20185	82.0%
Turmeric Tea	10.67	6.60%	16.819	2.0%
Vitamin water	152.20	77.20%	36.06734	5.6%
Wheatgrass juice	34.26	20.00%	112.7959	33.0%
Yogurt drink	71.19	-23.00%	90.67409	24.0%
